"Priority","Modified","DateReported","Category","Contract_x0020_No","Supplier","Product_x0020_Impacted","Communication_x0020_Link","Description","Issue_x0020_Type","Sourcing_x0020_Option","Resources","Cross_x0020_Reference_x0020_Prod","HT_x0020_Recommendation"
"Medium","2022-05-04","2022-04-27","2022-04-27","?44256","Baxter","?ExactaMix valve set","?Baxter Letter","Baxter is placing additional limits on the ExactaMix valve set and setting the allocation at 65%. Allocation amounts for selected amino acids are being increased to 125%. ?","Raw Material Shortage","Contracted Alternatives, Purchase Allocation","Award Summary?","?Infusion Pumps, Sets, Solutions and Needleless Products","?Please work with your local Baxter sales representative for any questions or issues. "
"Medium","2022-05-04","2022-05-04","2022-05-04","?44256","Baxter","#2B0944 Heparin Sodium in 0.9% sodium chloride injection 1000ML   #AHB0953U Heparin Sodium in 0.9% sodium chloride injection 500ML ","?Baxter Letter","Baxter is implementing a 100% allocation for the premix Heparin products.","Demand Fluctuations","Purchase Allocation","Award Summary?","??Infusion Pumps, Sets, Solutions and Needleless Products ","?Please work with your local Baxter sales representative for any questions or issues. "
"Medium","2022-05-16","2022-05-12","2022-05-12","?4735","Medtronic","E7507 Valleylab? REM
Polyhesive? Adult Patient Return Electrode, 9? (2.7 m) (50/case)E7507-DB Valleylab? REM
Polyhesive? Adult Patient Return Electrode, 15? (4.6 m) (50/case)E7508 Valleylab? REM
Polyhesive? Adult Cordless Patient Return Electrode (100/case)E7509 Valleylab? REM
Polyhesive? Adult Cordless Patient Return Electrode (50/case)","?Medtronic May 5 Letter","Medtronic is anticipating manufacturing lines to be down for a few weeks. This will cause intermittent market availability on some product codes for adult patient return electrodes. Alternative products offered within communicated letter.","Raw Material Shortage","Contracted Alternatives, Alternatives Recommended by Supplier","Award Summary?","?Electrosurgery - Monopolar, Bipolar & Argon Enhanced","?Please work with your local Medtronic sales representative "
"Critical","2022-05-16","2022-05-12","2022-05-12","?1565","Cardinal","??Gravity Sets 702505 Recovery through May 2022888472500 Rolling shipments through recovery in Fall 2022","?No official letter communicated. Information received via supplier.","Gravity sets remain on a rolling disruption due to raw material shortage.","Raw Material Shortage","Purchase Allocation","","??Enteral Feeding Pumps, Sets, Feeding Tubes and Related Supplies","?Please work with your local Cardinal representative for supply updates. "
"Medium","2022-05-16","2022-05-13","2022-05-13","?7545","ICU Medical","?SCRC3-10-1600 SwabPackPlus?SCXT3-10-2000 SwabPack?, 10 Ct., Bag SCXT3-2000 SwabCap?, 200-ct. BoxSCXT3-2400 SwabPack?, 25-ct. BagSCXT3-5-2000 SwabSleeve?","?ICU Medical May 3 Letter","ICU Medical is currently experiencing manufacturing delays of SwabCap disinfecting caps due to industry supply constraints of raw materials used in its manufacturing, including aluminum foil used in the individual product packaging. Based on the potential disruption, they are manually reviewing all orders in order to fulfill the current run rate of product.","Raw Material Shortage","Purchase Allocation, Non-Contracted Alternatives","Award Summary?","?Infusion Port Disinfection Caps","?Please work with your local ICU Medical product representative."
"Medium","2022-05-16","2022-05-13","2022-05-13","?48389","Cardinal","?Single suction catheters30500-, 30520, 30620, 30688, 30820, 30888, 31000-, 31020, 31200-, 31220-, 31400, 31420, 31445-, 31600, 31620-, 31800, 31820, 33000, 33400-, 33425, 33800, 141900, 141901, 141902, 141903,141904, 141906, 141908Suction catheter kits 30579, 30677, 30877, 31077, 31079, 31279, 31479, 31679, 31879                                               Sterile water 1020, 1022-Sterile saline 1024-, 10000-Suction catheter kits with solution 12062-, 12082, 12102-, 12142, 12153, 12182-, 10062, 10082, 10102, 10122, 10142, 12191, 10182Mucus specimen traps / containers8884724500, 8884724504, 8886864304, 8886864604, 8888257360, 8888257378, 8888257386,8888257469, 8888257477, 8888257485, 8888257527, 8888257535, 8888257550, 8888258608","?Cardinal April 25 Letter","Single sterile suction catheters and kits: 
Cardinal is experiencing manufacturing delays due to a packaging raw material shortage. Production continues but at a lower rate. As packaging raw material allocation improves, Cardinal will increase production. You may experience rolling backorders.

Sterile saline and sterile water: 
Cardinal is experiencing delays due to sterilization capacity constraints. Sterilizer capacity has been impacted by broader global capacity constraints and increased demand, ultimately resulting in increased lead times. Production of irrigating solutions continues but is delayed due to a backlog at the sterilizer. You may experience rolling backorders. 

Mucus specimen traps/containers:
Cardinal is changing the supplier and production location for its ARGYLE? Mucus Traps and Specimen Containers. There will be rolling backorders and stock-outs during this transition period. Cardinal has placed the impacted mucus specimen traps and containers on allocation until its overall inventory health improves.","Raw Material Shortage, Packaging Issue, Manufacturing Delays from Third Party Vendor","Purchase Allocation","Award Summary?","?Kits - Suction and Trach Care and Related Supplies","?Please work with your local Cardinal representative for supply updates or substitute product recommendations. "
"Medium","2022-05-16","2022-05-13","2022-05-13","?6671","Cardinal","?Argyle? Peripherally Inserted Central Catheters and Insertion Trays. Product codes identified in the letter. ","?Cardinal Letter - January","Experiencing rolling backorders due to raw material constraints and high customer demand.","Raw Material Shortage, Demand Fluctuations","Purchase Allocation","Award Summary?","?PICCs - Neonatal","?Please work with your local Cardinal representative for supply updates. "
"Medium","2022-05-16","2022-05-12","2022-05-12","?6666","Cardinal","?435SE460SE","?No official letter communicated. Information received via supplier. ","Intermittent delays are being seen across the syringe portfolio due to labor shortages at the manufacturing sites and delays at the sterilizer. Two codes are currently experiencing a supply interruption: 435SE and 460SE. Estimated recovery for these two codes is pending at this time.  

Cardinal is experiencing a supply interruption with its pediatric extension sets due to a raw material shortage in the packaging of these products. Supply will be constrained on these codes through recovery. Non-ENFit? codes will not recover prior to discontinuation in July. Estimated Recovery Dates: The two most common codes, 60ENS and 60ENY will recover in July with other impacted codes recovering through November 2022","Manufacturing Delays from Third Party Vendor, Labor Shortages, Raw Material Shortage, Packaging Issue","Clinical Alternatives","","?Neonatal - Enteral Feeding Tubes and Accessories ","?Please work with your local Cardinal representative for supply updates. "
"High","2022-05-16","2022-05-13","2022-05-13","?6673","Cardinal","?Argyle Umbilical Vessel Catheters and Argyle UVC Insertion Trays. Product codes identified in the letter. ","?Cardinal Letter - January","UPDATE 5/13: 
Experiencing rolling backorders due to raw material constraints and production delays related to machinery. Estimated Recovery Dates: Will vary by code but estimated recovery will be between July ? October 2022.","Raw Material Shortage, Manufacturing Delays from Third Party Vendor","Member Communication, Purchase Allocation","Award Summary?","?Neonatal UV Catheters","?Please work with your local Cardinal representative for supply updates. "
"Medium","2022-06-17","2022-06-17","2022-06-17","?187","Medline","??DYND30385DYND30362DYND30364DYND30228DYND30370 DYND80024 24 Hour Urine Collection Bottle  Sub BXTU3013H","?No official letter communicated. Information received via supplier.","Medline Brand Specimen Containers are seeing higher demand with longer lead times, please use subs PMR30363 and PMR30364","Demand Fluctuations","Non-Contracted Alternatives","Award Summary?","?Patient Plastic and Bedside Care Items","?Please work with your local Medline representative for supply updates and product substitutions if necessary. "
"Medium","2022-05-23","2022-05-20","2022-05-20","?44256","Baxter","Affected Secodnary Administration Sets?2C7452 Secondary Medication Set, DUO-VENT, INTERLINK Luer Lock Cannula (detached). 10 drops/mL. 37"" (95 cm)
2C7462 Secondary Medication Set, DUO-VENT, For use with CLEARLINK System. 10 drops/mL. 37"" (93 cm)
2H7462 Secondary Medication Set, DUO-VENT, For use with CLEARLINK System. 10 drops/mL. 37"" (93 cm). Non-DEHP
2H7463 Secondary Medication Set, DUO-VENT, For use with CLEARLINK System. 60 drops/mL. 37"" (93 cm). Non-DEHP
2H7452 Secondary Medication Set, DUO-VENT, INTERLINK Lever Lock Cannula (detached). 10 drops/mL. 37"" (93 cm), NonDEHP
2H7451 Secondary Medication Set, Hanger, Lever Lock Cannula (detached), Male Luer Lock Adapter, non-DEHP. 10
drops/mL. 37"" (93 cm)
2C7461 Secondary Medication Set, Non-Vented, For use with CLEARLINK System. 10 drops/mL. 37"" (93 cm)
2C7451 Secondary Medication Set, Non-Vented, INTERLINK Lever Lock Cannula (detached). 10 drops/mL. 37"" (95 cm)","?Baxter Letter - May 2022","Baxter is placing 100% allocation on certain Secondary Administration Set products.","Manufacturing Delays from Third Party Vendor, Raw Material Shortage","Contracted Alternatives, Purchase Allocation","Award Summary?","?Infusion Pumps, Sets, Solutions and Needleless Products","?Please work with your local Baxter sales representative for any questions or issues. "
"Medium","2022-06-02","2022-05-23","2022-05-23","?986","3M","?Backorder to some of its 3M Steri-Strip ProductsR1541, R1540, R1546, R1549, B1551, B1557, A1847, R1542, E4541, E4542, A1841, B1559, E4547, E4549, E4548, W8512","?Baxter Letter - May 18, 2022","3M is experiencing a backorder related to some of its 3M? Steri-Strip? products.","Not Specified - Global Supply Challenges","Non-Contracted Alternatives","Award Summary?","??Wound Closure Strips & Benzoin",""
"High","2022-05-23","2022-05-17","2022-05-17","?44256","Baxter","?ExactaMix Valve Sets required for the ExactaMix Automated Compounding Device.","?Baxter Letter - May 2022","Baxter is experiencing a significant constraint for ExactaMix valve sets, required for the ExactaMix automated compounding device, due to a resin shortage. Resin is required to make the valve cap on the finished valve set. The ExactaMix valve set is designed specifically for the ExactaMix automated compounding device, and currently there are no alternative sets available on the U.S. market.","Raw Material Shortage","Clinical Alternatives","Award Summary?Clinical Resource - ASPEN Conservation Considerations","?Infusion Pumps, Sets, Solutions and Needleless Products","?Please work with your local Baxter sales representative for any questions or issues. "
"Medium","2022-06-01","2022-06-02","2022-06-02","?44256","Baxter","??2C4040 Irrigation Set, Cysto/Bladder Straight-Type, Regulating Clamp2C4041
Irrigation Set, Y-Type TUR/Bladder, Regulating Clamp 2C4005 Irrigation Set, Y-Type TUR Series2C4006 Irrigation Set, Straight-Type TUR Series Set2C4014 Decanting Set with ClampMore details provided in May 2022 letter","?Baxter Letter May 2022","Baxter is placing 100% allocation on certain IV Irrigation Sets product codes. The 100% allocation is based on historical ordering (November 2021 ? April 2022) of each code. Please refer to  attached letter for more details.","Raw Material Shortage, Manufacturing Delays from Third Party Vendor","Purchase Allocation, Contracted Alternatives","??Award Summary","?Infusion Pumps, Sets, Solutions and Needleless Products","?Please work with your local Baxter sales representative for any questions or issues. "
"Medium","2022-06-01","2022-06-02","2022-06-02","?813","Alcon","?1000 centistoke silicone oil, SILIKON? 1000","?Alcon May 2022 Letter","Alcon is experiencing a temporary supply disruption of their 1000 centistoke silicon oil, SILIKON 1000. Alcon anticipates that this supply disruption will last approximately until the middle of July.","Quality Concerns, Raw Material Shortage","Member Communication, Contracted Alternatives","Award Summary?","?Ophthalmology Products and Related Supplies","?Please contact your local Alcon representative if you have any questions."
"Watch","2022-06-23","2022-06-03","2022-06-03","???512","Molnlycke","?M?lnlycke?s Mepitel Ag
dressings","?Molnlycke Letter","Molnlycke is experiencing limited supply of one raw material, micronized silver, used in manufacturing of some of its antimicrobial products. Simultaneously, they are experiencing increased demand for those same products and anticipate supply disruptions this summer.","Not Specified - Global Supply Challenges, Raw Material Shortage","Alternatives Recommended by Supplier","","?Wound Care Advanced (Full Line)","?Your Molnlycke representative can provide you with details about constrained supply on specific products your facility may purchase. "
"High","2022-06-23","2022-06-14","2022-06-14","??44256","Baxter","??Dobutamine Hydrochloride Injection products and Milrinone Lactate Injection products","?Baxter Letter","Baxter has implemented a 100% protective allocation of Dobutamine Hydrochloride Injection products and 150% protective allocation of Milrinone Lactate Injection products.","Not Specified - Global Supply Challenges","Member Communication","","?Infusion Pumps, Sets, Solutions and Needleless Products","???Please work with your local Baxter sales representative for any questions or issues. "
"High","2022-06-23","2022-06-15","2022-06-15","?42355?","Ethicon","?Patient Return Electrodes","","Ethicon may be unable to fully meet the increased customer demand stemming from supplier shortages throughout the industry. Please contact your local representative for any questions.
","Not Specified - Global Supply Challenges","Clinical Alternatives","","Electrosurgery - Smoke Evacuation Equipment and Supplies",""
"Medium","2022-06-29","2022-06-29","2022-06-29","?7168","Teleflex","?OnControl","?No official letter communicated. Information received via the supplier. ","Teleflex has reported that there have been brief delays on the OnContol trays over the past few months. They have inventory coming in weekly but orders have outpaced allocations for some SKU?s. They are filling orders first in/ first out. There are subs available and the local rep will assist. ","Not Specified - Global Supply Challenges","Clinical Alternatives","","?Powered Bone Marrow Biopsy","?Please work with your local Teleflex representative. "
