"Priority","DateReported","Modified","Category","Contract_x0020_No","Product_x0020_Impacted","Communication_x0020_Link","Description","Issue_x0020_Type","Sourcing_x0020_Option","Resources","Cross_x0020_Reference_x0020_Prod"
"High","2021-12-17","2022-02-17","Chemistry &amp; Immunoassay Testing Systems - Lab Automation","<div class=""ExternalClassC281CD5C05AF48919F7A3C481C90AC0D""><a href=""https&#58;//members.healthtrustpg.com/contracts/1109"" title=""1109"">1109</a></div>","<div class=""ExternalClassFB14DB3030BE4CD591F4125A58D216E2"">Various SKUs</div>","<div class=""ExternalClass1788707B00E64E529E58A1809E866BAD""><a href=""https&#58;//portal.healthtrustpg.com/-/media/7E2F8FE05B424A14814605BFB302A982.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=196271070&amp;_hsenc=p2ANqtz-8_lc4n4cQJLnYVU0p1BFxfLEOu6B2gHDxPsJjg-bRk43Q5K7sAa9Mpat-XpuWsB2BOLxp74r2sPZFpztGjnwIC3P_"" title=""Siemens Letter"">Siemens Letter</a></div>","Siemens is having challenges regarding backorders, partial fulfilment of orders, and uncertainty of delivery timing after placing an order.","Raw Material Shortage, Labor Shortages, Demand Fluctuations","Purchase Allocation, Contracted Alternatives","<div class=""ExternalClass0B84C6AD68EE4D31A1E21E5031739FD5""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/1109"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClass875DB3E2FEC14B4ABE28094CBC31280E"">No cross posted</div>"
"Medium","2022-03-23","2022-03-23","Commodity Nursing Supplies","<div class=""ExternalClass1EE9A29F3F5A409B823BA459510DE6CE""><span style=""color&#58;black;""><a href=""https&#58;//members.healthtrustpg.com/contracts/479"" title=""?479"">?479</a></span></div>","<div class=""ExternalClass1C7F1BF6B10F491685FBD7B4FF34945A"">Fetal Monitor Belts</div>","<div class=""ExternalClassE49E5681BBBB4B7FAF99C620B8AD8BF4"">No official letter communicated. Information received via supplier.</div>","Kerma is experiencing backorders on fetal monitor belts due to high demands for narrow elastic to manufacture masks, cuff gowns, and other facial protection. All SKUs are currently under allocation. Alternative products are available. As Kerma receives raw material, they are produced and shipped.","Raw Material Shortage, Demand Fluctuations","Purchase Allocation, Contracted Alternatives","<div class=""ExternalClass4DBEBE79898B497785F89A6011770B9C""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/?479"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClassBA4E47BB10FD4C87A71983F2F0CB3D99"">No cross posted</div>"
"Retire/Resolved","2022-01-13","2022-03-07","Commodity Nursing Supplies","<div class=""ExternalClass2B0FB1FE1F7E43ABAFE29F08049AD970""><a href=""https&#58;//members.healthtrustpg.com/contracts/199"" title=""199"">199</a></div>","<div class=""ExternalClass80F23E306DDF423D96F291588031947F"">Measuring Tapes&#58;                                                                        NON171335  Sub&#58; NON171330  January 2022                                         NON171336  Sub&#58; NON171335  February 2022                                                                                              Castile Soap MDS001005  February 2022</div>","<div class=""ExternalClassC71892B529EE41A6B428007A81E759C8"">No official letter communicated. Information received via supplier.</div>","Measuring tapes currently not backordered, but low stock                                                                                        Castile soap has low stock due to domestic production delays
","Not Selected, Not Specified - Global Supply Challenges","Member Communication","<div class=""ExternalClass21193CBAD1C448CB820CAE991AA434B7""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/199"" title=""?Award Summary"">?Award Summary</a></li></ul></div></div>","<div class=""ExternalClass3CC0859F40E940F98B8D5BB6D86C7A5E"">No cross posted</div>"
"High","2022-05-23","2022-05-23","Contrast Media - Radiographic","<div class=""ExternalClass721294A4620344F1AF72D15E5EA0B110""><a href=""https&#58;//members.healthtrustpg.com/contracts/299"" title=""299"">299</a></div>","<div class=""ExternalClassAB2397052E084D82A8D8CE6C628F6F62"">ISOVUE Products</div>","<div class=""ExternalClass008FBD4ECE4B4508A4037293D4DCC357""><div>UPDATE 5/23/22&#58;</div><ul><li><a href=""https&#58;//portal.healthtrustpg.com/-/media/9C07ABC7186F400A8C9B2DC38D814F30.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=213670876&amp;_hsenc=p2ANqtz--5_Sfz9L3AZ7bx8lmp6uVXmrJAoKx_i4qLfFrH5zMWog9O5Tt5eIYVHRnDSknPl75B-M_rJ6-Vdfc_lnK5CVXSQYT"" title=""Bracco Letter - May 2022"">Bracco Letter - May 2022</a></li><li><a href=""https&#58;//portal.healthtrustpg.com/-/media/F9C49D5892B54DD885235DDB62256522.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=207148240&amp;_hsenc=p2ANqtz-_Pk8WoK6oqUpNyc4g3P62cpZIZxRVl8vOSNnH9yGJYxBL50Wohyc-iWQqJuaCLu610FWYmt8oVnGRKcNwSH1oHAVB"" title=""?Bracco Letter - March 2022"">?Bracco Letter - March 2022</a></li></ul></div>","UPDATE 5/20: 
Bracco Diagnostics communicated that one of the major U.S. suppliers of iodinated contrast media is currently experiencing a supply shortage. To ensure a steady supply, Bracco has implemented a new ordering process. Please review the letter for more details.   
UPDATE 5/13: 
HealthTrust has been notified that there is a significant shortage of GE Omnipaque radiographic contrast media due to production limitations at GE?s Shanghai facility, resulting from the COVID lock-downs. While GE is not a contracted supplier in this category, we know that some members still utilize GE. GE customers are currently on product allocations. Bracco is the HealthTrust contracted supplier for Radiographic Contrast Media. Bracco has confirmed that they will continue to supply HealthTrust committed customers with their historical usage of radiographic contrast media. Bracco is evaluating how they may support other HealthTrust members affected by the GE supply disruption. To ensure no disruption or delay in on-going orders, please refrain from ordering in large excess of current utilization in an effort to stock up against the risk of no future supply. Doing so may delay timing of processing the order as Bracco validates against past usage. We recommend conservation measures for radiographic contrast media be implemented by all members regardless of the manufacturer utilized. Conservation may enable suppliers to move inventory as necessary to handle critical patient needs.","Not Specified - Global Supply Challenges, Labor Shortages, Demand Fluctuations","Purchase Direct","<div class=""ExternalClassAD554C27959448A281C095BD718355C8""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><a href=""https://members.healthtrustpg.com/contracts/299"" title=""?Award Summary""><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">?</span><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Award Summary</span></a></li><li><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;""><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/299.ASHP%20Contrast%20Conservation.pdf?csf=1&amp;web=1&amp;e=zs9wQr"" title=""Clinical Resource - ASHP Contrast Conservation Guidance"">Clinical Resource - ASHP Contrast Conservation Guidance</a></span></li><li><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;""><a href=""https&#58;//documentcloud.adobe.com/spodintegration/index.html?r=1&amp;locale=en-us"" title=""Clinical Resource - HealthTrust Contrast Conservation Guidance"">Clinical Resource - HealthTrust Contrast Conservation Guidance</a></span></li><li><span style=""color&#58;black;""><a href=""/&#58;x&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/299.Contrast.PFS.FINAL.10.29.21%20(1).xlsx?d=w1416d9c399044cc4881449d33d830d35&amp;csf=1&amp;web=1&amp;e=ZRkrQe"" title=""Clinical Resource - PFS?""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - PFS?</span></a></span></li></ul></div></div>","<div class=""ExternalClassF0BC6DA7BB284B0980BC31ED8295E8CE""><a href=""https://members.healthtrustpg.com/contracts/299"" title=""Contrast Media - Radiographic"">Contrast Media - Radiographic</a></div>"
"Medium","2022-05-13","2022-05-16","DME (Durable Medical Equipment)","<div class=""ExternalClass2068568467C1433298D3A574E25DF89C""><ul><li><a href=""https&#58;//members.healthtrustpg.com/contracts/2550"" title=""2550"">2550</a></li><li><a href=""https&#58;//members.healthtrustpg.com/contracts/2551"" title=""2551"">2551</a></li><li><a href=""https&#58;//members.healthtrustpg.com/contracts/6480"" title=""6480"">6480</a></li></ul><a href=""https&#58;//members.healthtrustpg.com/contracts/2550"" title=""2550""></a></div>","<div class=""ExternalClass612C52E64DBD4AC58260AA65C339CAD0""><div><span style=""color&#58;black;"">?</span>?Crutches/walkers , Rollators, Transport chairs, Bath Safety Items, Wheel chairs, Cushions and Wheel chair accessories. &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; </div><div>All categories are experiencing low stock and will have rolling backorders and limited availability during this time. &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160; &#160;</div><div>Cardinal Crutches are on allocation. The affected products shown in Table 1 in the letter. Cardinal expects sporadic shipments in the coming weeks and anticipate a return to healthy inventory levels in Q2 of 2022. Items&#58; CA901AD, CA901TL, CA801ADB, CA801TLB, CA901YTH<br></div></div>","<div class=""ExternalClass89E3720ABF2C4D50A1AB294709298CBE""><a href=""https&#58;//portal.healthtrustpg.com/-/media/EA922644FB4F4D7886AC2857DDED15B0.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=180356198&amp;_hsenc=p2ANqtz-99oGL_VZCtcGs8OIu3gGSQHTcdtGhZXn7lN_mATw_rw-7zMkA0jyGW12ltNUwqZRGRdfZoTMMNGk8nlPIqP4KLpmO"" title=""Cardinal Letter"">Cardinal Letter</a></div>","All sizes and lines of Crutches are experiencing increased demand along with significant shipping delays. Walkers, rollators, transport chairs, and wheelchairs will experience rolling backorders and limited availability.                                                      *UPDATE 5/13: Cardinal canes, walkers and wheelchairs are experiencing rolling backorders, with alternative healthy substitutes available in other sizes and types.
Estimated Recovery Dates:  Overall, Cardinal expects to be at full recovery May of 2022. They expect its crutches to be recovered 
around the June ? July timeframe due to the rise of COVID cases in Shanghai, and country-wide lockdowns. They also expect similar delays with wheelchairs.                         *Medline: All sizes and lines of crutches are experiencing increased demand along with significant shipping delays. Get well dates pushed out to mid-Q2 due to further supply chain disruption impacts. Cushions are experiencing shipping delays. Rush receiving incoming shipments &amp; expediting inventory to branches. Canes are experiencing low stock now through mid-Q2 with recovery of most items in late Q2 due to manufacturing capacity constraints; rolling backorders 
and limited availability during this time frame.  Walkers and wheelchairs low stock through March and April, with rolling backorders and limited availability. 
             ","Shipping Delays, Demand Fluctuations, Raw Material Shortage","Purchase Allocation, Member Communication","<div class=""ExternalClass248A24B4CD7E4E979A76A7A5AD19E46B""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/255025516480"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass75A21560EA4B4CEFAA8BBCE0758FFF9C""><a href=""https://members.healthtrustpg.com/contracts/255025516480"" title=""Durable Medical Equipment"">Durable Medical Equipment</a></div>"
"Critical","2022-04-29","2022-05-05","Drains - Chest and Autotransfusion Bags","<div class=""ExternalClass06A7F116262C41589A136B20B3E1C06E""><a href=""https&#58;//members.healthtrustpg.com/contracts/228"" title=""228"">228</a></div>","<div class=""ExternalClassE9AC8DD827124AD790553DEB649D3382""><span style=""color&#58;black;"">?</span>Ocean, Express, Pneumostat, and Express Mini 500 codes<p><br></p><p>UPDATE 4/29&#58;&#160;&#160;Products being discontinued</p><p>Products scheduled for discontinuation include all Ocean chest drain products, Oasis 3620-100 Dual chest drain, and Oasis 3650-100 Blood Recovery Unit (BRU) chest drain</p></div>","<div class=""ExternalClassD713D14CCFC34744BDA9D94EDD6E5917""><ul><li>UPDATED LETTER 4/29&#58; <a href=""https&#58;//portal.healthtrustpg.com/-/media/1E0A35D38F57448C8CD0DDAC9EDF9A5C.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=207885642&amp;_hsenc=p2ANqtz-9KZIubSDeZxLcGdgU0iQEY6oxlW9XqMBsr5jWiKNqC-mNvLM523cP3gfDOic8sANeZAOuFHXNmCSNsZ0PmxOvcZns"" title=""Product Discontinuation "">Product Discontinuation&#160;</a></li><li><a href=""https&#58;//portal.healthtrustpg.com/-/media/F5952657BF2E42FEB99810C91A4847FC.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=200907160&amp;_hsenc=p2ANqtz-9kJjuqi0c_oXEAZyOwZFfzC_1ZeYeLbO8w9mkDLkadHWN4b19bn38T1o-zzzfU46gQ72mMNc5xmJMpqEyXh4R4YwJ"" title=""Getinge Letter""><span style=""color&#58;black;"">?</span>Getinge Letter</a></li></ul></div>","UPDATE: 4/29: Discontinuing specific chest drain product codes:  products scheduled for discontinuation include all Ocean chest drain products, Oasis 3620-100 Dual chest drain, and Oasis 3650-100 Blood Recovery Unit (BRU) chest drain.

Getinge experiencing backorders due to a global supply shortage for raw materials and components used in the manufacturing of the Atrium chest drains. Getinge has stopped fulfilling Distributor orders in anticipation of 
taking orders directly from its mutual end-user customers. This action has been employed in an effort to more efficiently manage the allocation process and expedite shipping these orders. Getinge is requesting that facilities place orders for full case quantities only, directly with Getinge and not their distributor.","Raw Material Shortage, Component Disruption","Purchase Direct, Non-Contracted Alternatives, Clinical Alternatives","<div class=""ExternalClass0AE0DC0B515A42F9BBA16831D0C7C769""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><a href=""https://members.healthtrustpg.com/contracts/228"" title=""?Award Summary""><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">?</span><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Award Summary</span></a></li><li><a href=""/&#58;p&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/_layouts/15/Doc.aspx?sourcedoc=%7b73E49D6A-6458-4639-B5A6-966543A98D5F%7d&amp;file=228.Chest%20Drainage%20Systems-Glass%20Bottles_FP2.pptx&amp;action=edit&amp;mobileredirect=true"" title=""Clinical Resource - Clinical Practice Alternatives""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Clinical Practice Alternatives</span></a></li></ul></div></div>","<div class=""ExternalClass277EA03DCEB24FE8B0890CA5EF100549""><a href=""https://members.healthtrustpg.com/contracts/228"" title=""Drains - Chest and Autotransfusion Bags"">Drains - Chest and Autotransfusion Bags</a></div>"
"High","2022-05-13","2022-05-16","Electrodes - Cables and Leads - Cardiac Monitoring","<div class=""ExternalClass32984FD7B86E4E1F9C3645C16AAD7979""><a href=""https&#58;//members.healthtrustpg.com/contracts/48"" title=""48"">48</a></div>","<div class=""ExternalClass27F04062F85B4714B5F22F980276197D""><span style=""color&#58;black;"">?</span>Several SKUs within Pre-wired Electrodes and Snap Monitoring Electrodes. Please refer to supplier letter.</div>","<div class=""ExternalClassED1F28E788D7439EB1B2AEE3FFFDAF53""><a href=""https&#58;//portal.healthtrustpg.com/-/media/8A29B214D38C4A23A053A5736721DD43.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=203563487&amp;_hsenc=p2ANqtz-_Eia_FfSPCkWCsz_V1hrirbDKnZhc2mcCqdPNbcRnMxhpQgCo6k1Qjl54yiF6SzLMsbHvuaw_2TWEsTCc80NtTWB-"" title=""?Cardinal Letter""><span style=""color&#58;black;"">?</span>Cardinal Letter</a></div>","UPDATE 3/23: Diagnostic tab electrodes were experiencing production delays; however, capacity expansion is underway. Estimated Recovery Date: Rolling backorder with expected recovery in May 2022. 
Pre-Wired Neonatal Electrodes is experiencing rolling backorders  due to extended raw material lead times and labor challenges. All impacted codes are being distributed through Cardinal&#39;s fair share allocation process. 
Estimated Recovery Date: Rolling backorder with recovery in 
September 2022. Please work with your Specialty sales representative for SKU level detail and substitute options.  3- and 5-pack may experience rolling backorders between shipments. All impacted codes are being distributed through our fair share allocation process.
Estimated Recovery Dates: Rolling shipments are deploying out to the network regularly. Full recovery is expected between April 2023 and December 2023, with recovery dependent on SKU. 
Please work with your Specialty sales representative for additional SKU level detail and substitute options.","Labor Shortages, Raw Material Shortage","Contracted Alternatives","<div class=""ExternalClass524976BF292B4260898B8652597B5BCB""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/48"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClassC964095CE3A6473D8D934DFB7EBCD33A""><a href=""https://members.healthtrustpg.com/contracts/48"" title=""Electrodes ? Cables and Leads ? Cardiac"">Electrodes ? Cables and Leads ? Cardiac</a></div>"
"Medium","2021-10-26","2022-02-17","Endomechanical","<div class=""ExternalClassCB2C0DFC1BD54007BACEB451EA4F4F76"">743</div>","<div class=""ExternalClass67C050046F914C5BBC3C2681D841C815"">Open Multi-clip Applier&#58; codes MCS20, MSM20, MCM20, MCM30, MCL20                                                          10mm Laparoscopic Clip Applier ERCA&#58; code ER320     Single Ligaclips&#58; codes LT100, LT102, LT202, LT200, LT300, LT400                                                                 Proximate Plus MD Skin Staplers&#58; codes PMW35, PMR35                                                                                     Linear Cutter Cartridges&#58; codes TCR10 and TCR55</div>","<div class=""ExternalClassF5CBF6CB22A7498CA343D34C3C16D1A3""><span style=""color&#58;black;""><a href=""https&#58;//portal.healthtrustpg.com/-/media/55AE052D4B604C239F1E8197875DE1A2.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=166905899&amp;_hsenc=p2ANqtz--NiSHduOyxa4VZ4GVc6K18cWXoXxX9zocpp7SIa72V5ggpHS28yAs-Co-IKnmx_gxGCzUl4W8T7pwGyYFzCMMC8i5"" title=""?Ethicon Letter"">?Ethicon Letter</a>&#160;</span></div>","An external supplier for Ethicon has notified them of an industry-wide shortage of certain raw materials that are critical components in the packaging process of some of its endomechanical medical devices and there is potential for delayed delivery for select products.","Packaging Issue, Raw Material Shortage","Member Communication","","<div class=""ExternalClass593C1F35F6D640B3B80C8A2BAA9C57BF"">Endomechanical Products Disposable</div>"
"Medium","2022-03-23","2022-03-23","Endoscope and Instrument Care - Cleaning Transport and Related Supplies","<div class=""ExternalClassFF26F2DBCBF24CD399FC7498B95C1CF8""><a href=""https&#58;//members.healthtrustpg.com/contracts/42211"" title=""42211"">42211</a></div>","<div class=""ExternalClass9A041215D2E74DA597B4509AAD17F300"">3M Clean-Trace ATP Surface Test, UXC100 and the 3M Clean-Trace Water Test, H2O</div>","<div class=""ExternalClassBE0CBFDCC28C48E4B4E4CA2DC18F0E7A""><a href=""https&#58;//members.healthtrustpg.com/catscan/Common/DialogPages/DialogProxy.aspx?path=/catscan/summarysheet/report.aspx?contractnumber=42211"" title=""3m Letter""><span style=""color&#58;black;"">?</span>3M Letter</a></div>","3M is experiencing extended lead times on the 3M Clean-Trace ATP Surface Test, UXC100 and the 3M Clean-Trace Water Test, H2O, resulting from transportation shortages. 3M anticipates supply disruptions on these products through February 2022 - update requested","Shipping Delays","Contracted Alternatives","<div class=""ExternalClass0A7464C27BA440648FA924D4A2685C08""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><a href=""https://members.healthtrustpg.com/contracts/42211"" title=""?Award Summary""><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">?</span><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Award Summary</span></a></li><li><span style=""color&#58;black;""><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/4062.Infographic-Enteral%20Feeding%20Device%20Transition_4.12.21_Final.pdf?csf=1&amp;web=1&amp;e=jYso0N"" title=""Clinical Resource - Disposable Endoscopes PFS""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Disposable Endoscopes PFS</span></a></span></li><li><span style=""color&#58;black;""><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/42211.Proper%20Care%26Handling%20of%20Flexible%20Endoscopes_FINAL.pdf?csf=1&amp;web=1&amp;e=wxKohZ"" title=""Clinical Resource - Proper Care and Handling""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Proper Care and Handling</span></a></span>?</li></ul></div></div>","<div class=""ExternalClass586CAD079862457CBA07F96949896C15""><a href=""https://members.healthtrustpg.com/contracts/42211"" title=""Endoscope and Instrument Care - Cleaning Transport and Related Supplies"">Endoscope and Instrument Care - Cleaning Transport and Related Supplies</a></div>"
"Retire/Resolved","2021-11-19","2022-05-04","ENT Equipment and Supplies","<div class=""ExternalClass73C636CB5F7A449887EB610727FE4DC9""><a href=""https&#58;//members.healthtrustpg.com/contracts/388"" title=""388"">388</a></div>","<div class=""ExternalClassA2E4950E07F24A6B9EF561ED1987C54A"">Specific products identified in letter.</div>","<div class=""ExternalClassD0E213C5C9C446E18F0E9F363E2807AD""><a href=""https&#58;//portal.healthtrustpg.com/-/media/B5B127AE4049431EBA76487325991277.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=183130696&amp;_hsenc=p2ANqtz-_AJwj0kNAxUMKTGeyNLstwjLwju7XNnbEGBZadPgBdUDC3SkDJRGxQRWhMOfaqJwaaahqbGwYhnVNtm1kWMq_03Ko"" title=""Medtronic Letter"">Medtronic Letter</a></div>","Specific products in the ENT category that may temporarily be in limited supply due to supply chain challenges.","Not Specified - Global Supply Challenges","Alternatives Recommended by Supplier","<div class=""ExternalClass757246C78980435C9A1170CE2AA3EBD1""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">?</span><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Award Summary</span></li><li><span style=""color&#58;black;""><a href=""/&#58;x&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/388.PFS_Balloon_Sinuplasty_3.3.21.xlsx?d=w5385a8278dbd4e79842460ace6f560de&amp;csf=1&amp;web=1&amp;e=TdOk9r"" title=""Clinical Resource - Balloon Sinuplasty PFS?""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Balloon Sinuplasty PFS?</span></a></span></li><li><span style=""color&#58;black;""><span style=""color&#58;black;""><a href=""/&#58;x&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/388.PFS_ENT%20Implants_Product%20Features_FP.xlsx?d=w9ef118df90794ac8ae687c433e02aa4d&amp;csf=1&amp;web=1&amp;e=sg9zCY"" title=""Clinical Resource - ENT Implants PFS?""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - ENT Implants PFS?</span></a></span><br></span></li><li><span style=""color&#58;black;""><span style=""color&#58;black;""><span style=""color&#58;black;""><a href=""/&#58;x&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/388.PFS_Nasal_Packing_6.1.21.xlsx?d=wd3d0d39c3a9f40bc901c49041ab589da&amp;csf=1&amp;web=1&amp;e=d25j04"" title=""Clinical Resource - Nasal Packing PFS""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Nasal Packing PFS</span></a>?</span><br></span></span></li></ul></div></div>","<div class=""ExternalClass54D4C65C971A409F8411AD9BBE9795A5""><a href=""https://members.healthtrustpg.com/contracts/388"" title=""ENT Equipment and Supplies"">ENT Equipment and Supplies</a></div>"
